input_text	target_text
Clinical scaffolding of a patient with prostate cancer in whom basal prostatectomy or radiotherapy therapy is considered.	Clinical staging of a affected role with prostate cancer in whom basal prostatectomy beaver state radiotherapy therapy is considered.
Rating of a patient stick with basal prostatectomy or radiation therapy for prostate cancer who have rising prostate gland specific antigen (prostate specific antigen) levels.	Rating of a patient following basal prostatectomy or radiation therapy for prostate genus cancer world health organization cause rising prostate specific antigen (prostate specific antigen) levels.
A misgiving of prostatic disease documented from the patient ’ s account, rectal examination, operating theatre a clinically significant prostate specific antigen increase, and / or bone scan evidence of metastasis without a diagnosing of prostate cancer	A suspicion of prostatic disease documented from the patient ’ s account, rectal examination, or a clinically significant PSA step up, and / or bone scan grounds of metastasis without a diagnosing of prostate crab.
Transrectal ultrasound constitute allowed for metastatic lesions of unnamed informant, with a high PSA level, which could give their origin in the prostate gland.	Metastatic lesion of unknown source, with a mellow prostate specific antigen level, which could have their stock in the prostate gland.
Infertility and azoospermia where an ejaculatory epithelial duct cyst is distrust.	Infertility and azoospermia where an ejaculatory channel cyst is suspected.
Fever of unknown origin where a prostate focusing is mistrust.	Fever of unsung origin where a prostate focal point is suspected.
Rating of suspected prostatitis operating room prostatic abscess.	Evaluation of suspected prostatitis or prostate abscess.
Congenital and acquired cystic weather condition of prostate, seminal cyst, and related to tissues.	Congenital and assume cystic conditions of prostate, originative vesicles, and related to tissues.
Measuring size / volume of prostate tissue prior to radiation therapy, transurethral needle ablation of the prostate gland (tuna fish ), or transurethral microwave thermotherapy (TUMT ), Transurethral Resection of the Prostate gland (TURP) and Laser Ablation of Prostate (“ greenish - christ within ” laser ).	Measuring size / volume of prostate gland tissue prior to radiation therapy, transurethral needle ablation of the prostate (TUNA ), or transurethral microwave thermotherapy (TUMT ), \ n \ nTransurethral Resection of the Prostate gland (transurethral resection of the prostate) and Laser Cutting out of Prostate (“ green - light ” optical maser ).
Transrectal sonography is also used to guide correct interstitial radioelement application and placement of radiation therapy fields.	Guide even up interstitial radioelement application and placement of radiation therapy field of operation.
Monitoring of response to therapy in patient role with prostate crab	Monitoring of reception to therapy in patients with prostate cancer
Evaluation of germinal cyst in the presence of hematospermia.	Rating of seminal vesicles in the front of hematospermia.
Clinical staging of a patient role with rectal carcinoma.	Clinical scaffolding of a patient role with rectal carcinoma.
Evaluation of a patient role who induce get authoritative treatment for carcinoma of the rectum at risk for recurrent disease.	Evaluation of a patient who has had authoritative treatment for carcinoma of the rectum at risk for recurrent disease.
Evaluation of a affected role with anal or rectal sinus when support indicates the diagnostic result be necessary to determine the appropriate treatment.	Evaluation of a patient role with anal or rectal fistula when software documentation indicates the symptomatic result is necessary to determine the appropriate intervention.
Diagnostic valuation of malignant or benign perirectal tumors such as, only non limited to, villous adenoma, chordomas, leiomyoscarcomas, and dermoid cysts.	Symptomatic evaluation of malignant operating theater benign perirectal tumors such as, but not special to, villous adenoma, chordomas, leiomyoscarcomas, and dermoid cysts.
Evaluation of anal and / or rectal or perirectal abscess when the corroboration indicates the diagnostic result be probable to contribute to the development of a treatment design.	Rating of anal and / or rectal or perirectal abscesses when the documentation show the symptomatic result be probable to bestow to the development of a handling plan.
Rating of anal incontinence symptom that are likely due to anatomic anatomical sphincter defects for which surgical reconstruction follow about likely to comprise done. Typically, the patient role has fecal incontinence with a history of traumatic risk (e. 1000. , childbirth, rectal surgery oregon irradiation ).	Evaluation of anal retentive incontinence symptom that are likely due to anatomical sphincter defects for which surgical reconstruction period is most likely to be done. Typically, the patient role has faecal incontinence with a history of traumatic risk (e. g. , childbirth, rectal surgery or irradiation ).
medication refractory ET (defined as refractory to at least two trials of medical therapy, including at least one first-line agent)	medication refractory ET (defined as refractory to at least two trials of medical therapy, including at least one first-line agent)
moderate to severe postural or intention tremor of the dominant hand or another nationally accepted clinical measure of tremor severity	moderate to severe postural or intention tremor of the dominant hand or another nationally accepted clinical measure of tremor severity
disabling ET (defined by a score of ≥2 on any of the eight items in the disability subsection of the CRST or another nationally accepted clinical measure of tremor severity)	disabling ET (defined by a score of ≥2 on any of the eight items in the disability subsection of the CRST or another nationally accepted clinical measure of tremor severity)
not a candidate for DBS (e.g., advanced age, anticoagulant therapy, surgical comorbidities, or has failed Deep Brain Stimulation (DBS), but has no retained cranial implants)	not a candidate for DBS (e.g., advanced age, anticoagulant therapy, surgical comorbidities, or has failed Deep Brain Stimulation (DBS), but has no retained cranial implants)
Clinical of a prostate in whom radical prostatectomy or therapy is	Clinical staging of with prostate cancer in whom radical prostatectomy radiation therapy
of a patient following radical therapy prostate cancer who has rising prostate specific antigen (PSA) levels.	of a patient radical prostatectomy or radiation therapy for cancer has rising prostate antigen (PSA) levels.
A suspicion of disease documented from the patient’s history, rectal examination, or a significant increase, and/or bone evidence of metastasis without a diagnosis of prostate cancer	A suspicion of prostatic disease documented from patient’s history, rectal examination, or a clinically significant PSA and/or evidence metastasis a diagnosis of
is allowed for metastatic lesions of source, with a high PSA level, which could have their origin in the prostate.	Metastatic of a high PSA level, which could have their origin in prostate.
Infertility and an ejaculatory duct cyst is suspected.	Infertility and azoospermia where an duct cyst suspected.
Fever of unknown origin where a focus	Fever of unknown origin where a prostatic focus suspected.
of suspected prostatitis or prostatic abscess.	Evaluation of or prostatic abscess.
Congenital and acquired conditions of prostate, seminal vesicles, and related tissues.	Congenital acquired cystic of prostate, seminal and tissues.
size/volume tissue to radiation therapy, ablation of prostate (TUNA), or transurethral microwave thermotherapy (TUMT), Resection Prostate (TURP) and Laser Ablation Prostate (“green-light” laser).	of prostate tissue to radiation therapy, transurethral needle ablation of the prostate (TUNA), or transurethral thermotherapy (TUMT),\n\nTransurethral Resection of the Prostate (TURP) and Laser Ablation Prostate (“green-light”
ultrasound is also used to guide correct interstitial radioelement application placement of radiation therapy fields.	Guide correct radioelement application and placement of radiation therapy fields.
Monitoring of response to therapy in patients with prostate cancer	Monitoring response to therapy patients with prostate cancer
Evaluation of seminal in presence	Evaluation of seminal vesicles in presence of hematospermia.
Clinical staging of a patient rectal carcinoma.	Clinical staging of a patient with rectal carcinoma.
of patient who has had treatment for carcinoma of rectum risk for recurrent disease.	Evaluation of a patient has had treatment for the rectum at risk for recurrent disease.
Evaluation of a with or rectal fistula documentation indicates the diagnostic result is necessary to determine appropriate treatment.	Evaluation of a patient with anal or rectal fistula when documentation indicates diagnostic result is necessary to determine the appropriate treatment.
Diagnostic of benign perirectal tumors such as, but limited to, villous adenomas, chordomas, leiomyoscarcomas, and dermoid cysts.	Diagnostic evaluation of malignant or benign perirectal tumors such as, but limited to, chordomas, leiomyoscarcomas, and dermoid cysts.
Evaluation of anal and/or rectal or perirectal the documentation the diagnostic result is likely to contribute to the development of a treatment	Evaluation of anal and/or rectal or perirectal abscesses when the documentation diagnostic result likely to contribute to the development a treatment plan.
Evaluation of anal incontinence that are likely due anatomic defects for which surgical reconstruction is likely to be done. Typically, the patient has fecal incontinence a of traumatic (e.g., childbirth, surgery or irradiation).	Evaluation of anal incontinence that are likely to anatomic sphincter defects for which surgical is most likely to be Typically, patient has fecal incontinence with a history of traumatic risk (e.g., childbirth, rectal surgery or
Provocative and neutralization testing and neutralization therapy of food allergies (sublingual, intracutaneous and subcutaneous) are excluded from Medicare coverage because available evidence does not show these tests and therapies are effective	Provocative and neutralization testing and neutralization therapy of food allergies (sublingual, intracutaneous and subcutaneous).
Qualitative multiallergen screens have insufficient literature demonstrating clear-cut clinical utility and are, therefore, non-covered	Qualitative multiallergen screens.
Late reactions occurring with allergenic extracts are of unclear clinical significance and are, therefore, non-covered	Late reactions occurring with allergenic extracts.
Intradermal testing for food allergens	Intradermal testing for food allergens.
Food allergen testing for patients who present with respiratory symptoms other than wheezing and asthma	Food allergen testing for patients who present with respiratory symptoms other than wheezing and asthma.
Food allergen testing for patients who present with gastrointestinal symptoms suggestive of food intolerance	Food allergen testing for patients who present with gastrointestinal symptoms suggestive of food intolerance.
Skin endpoint testing	Skin endpoint testing.
Allergy testing for antigens for which no clinical efficacy is documented in peer-reviewed literature. Such antigens include but are not limited to the following:	Allergy testing for antigens for which no clinical efficacy is documented in peer-reviewed literature. Such antigens include but are not limited to the following:
Grain mill dust (pollen grains of cereals/related crops are large; they do not become airborne) Tobacco smoke (no component has ever been shown to be a respiratory allergen)\n\nOrris root (almost never used in cosmetics these days; test adds nothing to evaluation)	None of the above.
Testing must correlate specifically to the patient’s history and physical findings	Testing must correlate specifically to the patient’s history and physical findings.
The test technique and/or allergens tested must have proven efficacy demonstrated through scientifically valid medical studies published in peer-reviewed literature.	The test technique and/or allergens tested must have proven efficacy demonstrated through scientifically valid medical studies published in peer-reviewed literature.
Allergy testing must be performed on patients whose environment provides the reasonable probability of exposure to the specific antigen tested.	Allergy testing must be performed on patients whose environment provides the reasonable probability of exposure to the specific antigen tested.
Clinical staging of a patient with prostate cancer in whom radical prostatectomy or radiation therapy is considered.	Clinical staging of a patient with prostate cancer in whom radical prostatectomy or radiation therapy is considered.
Evaluation of a patient following radical prostatectomy or radiation therapy for prostate cancer who has rising prostate specific antigen (PSA) levels.	Evaluation of a patient following radical prostatectomy or radiation therapy for prostate cancer who has rising prostate specific antigen (PSA) levels.
A suspicion of prostatic disease documented from the patient’s history, rectal examination, or a clinically significant PSA increase, and/or bone scan evidence of metastasis without a diagnosis of prostate cancer	A suspicion of prostatic disease documented from the patient’s history, rectal examination, or a clinically significant PSA increase, and/or bone scan evidence of metastasis without a diagnosis of prostate cancer.
Transrectal ultrasound is allowed for metastatic lesions of unknown source, with a high PSA level, which could have their origin in the prostate.	Metastatic lesions of unknown source, with a high PSA level, which could have their origin in the prostate.
Infertility and azoospermia where an ejaculatory duct cyst is suspected.	Infertility and azoospermia where an ejaculatory duct cyst is suspected.
Fever of unknown origin where a prostatic focus is suspected.	Fever of unknown origin where a prostatic focus is suspected.
Evaluation of suspected prostatitis or prostatic abscess.	Evaluation of suspected prostatitis or prostatic abscess.
Congenital and acquired cystic conditions of prostate, seminal vesicles, and related tissues.	Congenital and acquired cystic conditions of prostate, seminal vesicles, and related tissues.
