input_text	target_text
Acute myocardial (3-5	Acute myocardial infarction (3-5 days)
angina	Unstable angina
arrhythmias causing symptoms compromise	Uncontrolled arrhythmias causing symptoms or hemodynamic compromise
Syncope	Syncope
Active	Active
Acute myocarditis or pericarditis	myocarditis or
Symptomatic severe aortic	Symptomatic severe aortic stenosis
Uncontrolled	Uncontrolled heart failure
Acute pulmonary embolus or pulmonary	Acute pulmonary embolus or pulmonary infarction
Thrombosis of lower	of lower extremities
Suspected dissecting aneurysm	Suspected aneurysm
Uncontrolled asthma	Uncontrolled asthma
Pulmonary edema	Pulmonary
SpO2 = 85% room air	SpO2 85% on room air
Acute respiratory failure	Acute respiratory
Acute non-cardiopulmonary disorder that may affect exercise performance or be aggravated by exercise infection, failure,	Acute non-cardiopulmonary disorder that may affect exercise performance or be by (i.e., infection, failure, thyrotoxicosis)
impairment leading to inability to with the	impairment leading to cooperate the testing
Absolute Contraindications	None of the above
Left main coronary artery or its equivalent	Left main coronary artery stenosis or its equivalent
Moderate valvular disease	Moderate stenotic heart disease
Severe untreated arterial hypertension at rest systolic, diastolic)	Severe arterial hypertension at rest (200mmHg systolic, 120mmHg diastolic)
Tachyarrythmias or	Tachyarrythmias or bradyarrythmias
High degree atrioventricular block	High degree atrioventricular block
Hypertrophic cardiomyopathy	Hypertrophic cardiomyopathy
Significant pulmonary hypertension	Significant pulmonary hypertension
or complicated pregnancies	Advanced or complicated pregnancies
abnormalities	Electrolyte abnormalities
that prevents walking	Orthopedic that prevents walking
Thrombosis of lower	of the above
Failure to cease tobacco use at least 6 weeks prior to surgery or documentation the medical record the patient has received counseling on the effects of on surgical outcomes and treatment for smoking cessation.	Physician’s documentation for the case clearly supports the indication and the medical need\n\n(the procedure does not exceed the need) and at least as beneficial as existing alternatives.
Autoimmune and rheumatological disorders (including inflammatory that will be by presence intra-abdominal foreign bodies (for LAGB procedure).	Supporting physician’s documentation for exception compelling arguments.
disorder that, in opinion a imparts a significant risk of decompensation interference with the management.	None of the
spying Detection or surveillance of colon polyp(s) OR	Detection el salvadoran colon or surveillance of colon polyp(s)
diagnostic Diagnostic procedure when ANY of the following criteria are met (3):	Diagnostic procedure when be ANY of the following criteria are met:
Secondary procedure after an incomplete diagnostic optical colonoscopy (OC) with adequate preparation, and symptomatic a complete evaluation of the colon was not technically possible (1,2) when EITHER of the following criteria are met	None of none the above
Surveillance of surgery colon polyp(s) in previously diagnosed patients OR	Surveillance of colon polyp(s) antecedently in previously diagnosed patient.
diagnostic Diagnostic procedure when ANY of the following criteria are met (3):	Diagnostic diagnostic procedure when ANY of the following criteria are met:
Secondary procedure after an incomplete diagnostic optical colonoscopy (OC) with adequate preparation, and symptomatic a complete evaluation of the colon was not technically possible (1,2) when EITHER of the following criteria are met	None of the none above
Radiographic or clinical evidence of bear witness instability due to any 1 of the following:	Radiographic or clinical evidence of instability imbalance due to any 1 of the following:
Symptomatic spinal deformity (in imbalance the absence of instability or neural compression) which meets the following criteria:	Symptomatic spinal deformity (in the absence of spinal anaesthesia instability or neural compression) which meets the following criteria:
Revision surgery for pseudarthrosis watch following an initial spine surgery if the following conditions are all met.	Revision surgery for circumstance pseudarthrosis following an initial spine surgery if the following conditions are all met:
Symptomatic compression of neural elements for which disc excision is necessary for decompression. The unwavering record must reflect disc compression of neural elements for each level fused based on this indication.	Symptomatic compression of neural elements for which disc excision is necessary for decompression. The record must reflect disc compression of neural elements for each level fused based on component this indication.
Nonresponse to at to the lowest degree least 1 year of non-operative treatment	None of none the above
It is used by a gastroenterologist trained to use and interpret the results.	It is used by a gastroenterologist trained to use and interpret the results.
It is used to evaluate and/or treat patients with suspected gastroparesis of any nature.	It is used to evaluate and/or treat patients with suspected gastroparesis of any nature.
It is used to evaluate colonic transit in patients with chronic idiopathic constipation lasting over 6 months.	It is used to evaluate colonic transit in patients with chronic idiopathic constipation lasting over 6 months.
Basic clinical investigations, including endoscopy, have failed to elucidate a diagnosis.	Basic clinical investigations, including endoscopy, have failed to elucidate a diagnosis.
Radiographic or clinical evidence of instability due to any 1 of the following:	Radiographic or clinical evidence of instability due to any 1 of the following:
Symptomatic spinal deformity (in the absence of instability or neural compression) which meets the following criteria:	Symptomatic spinal deformity (in the absence of instability or neural compression) which meets the following criteria:
Revision surgery for pseudarthrosis following an initial spine surgery if the following conditions are all met.	Revision surgery for pseudarthrosis following an initial spine surgery if the following conditions are all met:
Symptomatic compression of neural elements for which disc excision is necessary for decompression. The record must reflect disc compression of neural elements for each level fused based on this indication.	Symptomatic compression of neural elements for which disc excision is necessary for decompression. The record must reflect disc compression of neural elements for each level fused based on this indication.
Sagittal or coronal imbalance by at least 5 cm as measured on radiographic imaging of the entire spine	None of the above
Severe fleshiness (BMI> ixl kilo / m2 )	Severe fleshiness (body mass index> ixl kg / m2 )
Prior placement of prosthetic valve	Prior placement of prosthetic valve
Know knockout aortic stenosis	Live severe aortic stricture
Prior placement of grafts in coronary electrical shunt surgery	Prior placement of grafts in coronary ring road surgery
Suspicion of acute coronary syndrome (where statute mile or unstable angina pectoris let not comprise ruled out )	Suspicion of penetrative coronary syndrome (where naut mi or unstable angina ingest not been rule extinct )
Intracoronary metal stent	Intracoronary metallic stent
Status berth - heart transplant	Position post - heart transplant
Late MI (xxx day or less )	Late MI (30 twenty four hour period or less )
Prior pacemaker or defibrillator lead placement	Prior pacemaker beaver state defibrillator lead placement
New diagnosed systolic tenderness failure, with no prior left heart catheterisation	Freshly diagnosed systolic spirit failure, with no prior allow sum catheterization
Left main coronary artery disease with Intermediated Coronary Stenosis (lumen simplification less than or equal to xxx% )	Left main coronary artery disease with Intermediated Coronary Stenosis (lumen reduction less than beaver state adequate to 30% )
Non - obstructing stenosis (< 50% of all major epicardial vessel) on CTA operating theater catherization in the past dozen \ n \ nCreated on 10 / twenty five / 2021. Page 4 of xi \ n \ nmonths, in the absence of a unexampled symptom composite	Non - obstructing stenosis (< l% of all major epicardial vessels) on CTA or catherization in the past twelve month, in the absence seizure of a newfangled symptom complex
Left independent disease with medium coronary stenosis (lumen diameter reduction of xxx - 50% );	Left chief disease with medium coronary stenosis (lumen diameter reducing of 30 - 50% )
Proximal and mid - left prior descending (bloke) coronary arteria disease with medium stenosis (lumen step down 40 - seventy% );	Proximal and mid - pass on prior descending (LAD) coronary artery disease with average stricture (lumen reduction xl - lxx% )
Proximal and mid - left circumflex disease with intermediate coronary stenosis (lumen diminution xl - seventy% ; (take equivalent to 2 - vessel disease );	Proximal and mid - left hand circumflex disease with intermediate coronary stricture (lumen reduction twoscore - 70% ; (considered equivalent to two - watercraft disease )
Proximal two - operating theater three - vessel disease with medium coronary stricture in at least two vessels;	Proximal ii - or three - vessel disease with medium coronary stenosis in at least two vessel
Right coronary disease with medium (lumen reduction twoscore - seventy%) coronary stenosis	Right coronary disease with average (lumen reduction forty - 70%) coronary stricture
Diagnose and manage medically and surgically macular and neurology-opthalmic hydatid disease which involve alterations in the eye sensory sensory nerve, submacular and intramacular alterations, -macular family relationship and alterations in the sensory sensory nerve fibre surface.	Diagnose and manage medically and surgically macular and neurology-opthalmic hydatid disease which involve alterations in the eye sensory sensory nerve, submacular and intramacular alterations, -macular family relationship and alterations in the sensory sensory nerve fibre surface.
Diagnose early on cataract and monitor cataract therapy	Diagnose early on cataract and monitor cataract therapy.
Differentiate factors of some other eye sensory nerve neurological disorder when a medical diagnosis is in certainty.	Differentiate factors of some other eye sensory nerve neurological disorder when a medical diagnosis is in certainty.
Diagnose and manold age the patient of's experimental health condition when audio-audio-audio-visual force force field effect are inadequate; or when dependable audio-audio-audio-visual force force field experiments cannot be performed, due to audio-audio-audio-visual, mental health, mental health, or old age challenges.	Diagnose and manold age the patient of's experimental health condition when audio-audio-audio-visual force force field effect are inadequate; or when dependable audio-audio-audio-visual force force field experiments cannot be performed, due to audio-audio-audio-visual, mental health, mental health, or old age challenges.
Differentiate when a differences exists between the medical diagnosis look of the eye sensory nerve and the audio-visual subject field	Differentiate when a differences exists between the medical diagnosis look of the eye sensory nerve and the audio-visual subject field.
Detect encourage losseses of eye sensory sensory sensory nerve or macular sensory sensory sensory nerve fibre surface alterations in the existence of moved eye sensory sensory sensory nerve impairment and moved audio-visual force field losseses	Detect encourage losseses of eye sensory sensory sensory nerve or macular sensory sensory sensory nerve fibre surface alterations in the existence of moved eye sensory sensory sensory nerve impairment and moved audio-visual force field losseses.
Follow cataract investigators.	Follow cataract investigators.
Evaluate narrow down down down oblique oblique oblique oblique angle, suspected narrow down down down oblique oblique oblique oblique angle, divided narrow down down down and open up oblique oblique oblique oblique angle cataract, and oblique oblique oblique oblique angle cyclical unemployment as all determined by examination	Evaluate narrow down down down oblique oblique oblique oblique angle, suspected narrow down down down oblique oblique oblique oblique angle, divided narrow down down down and open up oblique oblique oblique oblique angle cataract, and oblique oblique oblique oblique angle cyclical unemployment as all determined by examination.
Determine the adequate ocular camera lens for a patient of who has had until double refraction reconstructive surgery and now requires glaucoma mineral extraction	Determine the adequate ocular camera lens for a patient of who has had until double refraction reconstructive surgery and now requires glaucoma mineral extraction.
Evaluate Iris tumour	Evaluate Iris tumour.
Evaluate intraocular oedema or transparency that precludes visualisation or survey of the posterior enclosure	Evaluate intraocular oedema or transparency that precludes visualisation or survey of the posterior enclosure.
compute camera lens great power for glaucoma sufferers who have undergone until double refraction reconstructive surgery. (compensation will only be made for the glaucoma computer code as long as supplementary software documentation is for sale in the patient of criminal record of the until double refraction process. compensation will not be made in additive to A-examination or IOL master copy.)	compute camera lens great power for glaucoma sufferers who have undergone until double refraction reconstructive surgery. (compensation will only be made for the glaucoma computer code as long as supplementary software documentation is for sale in the patient of criminal record of the until double refraction process. compensation will not be made in additive to A-examination or IOL master copy.)
Evaluate and plan therapy for sufferers with hydatid disease affecting the corneal transplant, bearded iris, camera lens and some other posterior area buildings.	Evaluate and plan therapy for sufferers with hydatid disease affecting the corneal transplant, bearded iris, camera lens and some other posterior area buildings.
Provide sin the leadplementary info during the scheduling and take after-in the lead for intraocular, bearded iris, cataract, cataract and some other posterior area reconstructive surgery.	Provide sin the leadplementary info during the scheduling and take after-in the lead for intraocular, bearded iris, cataract, cataract and some other posterior area reconstructive surgery.
An evaluation by an appropriate specialist, usually a urologist urogynecologist, has performed and the specialist determined that the patient is a for PTNS;	evaluation by an appropriate specialist, usually a urologist or urogynecologist, has been and has that the patient a candidate for PTNS
The medical record the beneficiary a) compliant with and failed a trial appropriate behavioral therapy of length to potential efficacy and been compliant with has failed or been unable to tolerate a trial of at two appropriate medications administered for four\n\n(4) (8)	The medical record documents that the beneficiary has been with and failed a trial of appropriate behavioral therapy of sufficient length to evaluate potential efficacy and been compliant with and failed or unable to tolerate a trial of at two appropriate medications administered for four (8)
The voiding diary shows continued findings of OBS;	The voiding diary shows OBS
The has documented a willingness to attend in-office treatment to with the behavioral therapies, and to continue to keep voiding including of behavioral therapy compliance;	The has documented a to attend in-office treatment sessions, to comply with the behavioral therapies, and to continue voiding documentation of behavioral compliance
Treatment of an initial course of 30-minute session per week for 12	Treatment will consist of an initial of one 30-minute week for 12 weeks
Severe obesity (BMI > 39 kg/m2)	Severe obesity (BMI > 39 kg/m2)
Prior placement of prosthetic valves	Prior placement of prosthetic valves
Known severe aortic stenosis	Known severe aortic stenosis
Prior placement of grafts in coronary bypass surgery	Prior placement of grafts in coronary bypass surgery
Suspicion of acute coronary syndrome (where MI or unstable angina have not been ruled out)	Suspicion of acute coronary syndrome (where MI or unstable angina have not been ruled out)
Intracoronary metallic stent	Intracoronary metallic stent
Status post-heart transplantation	Status post-heart transplantation
Recent MI (30 days or less)	Recent MI (30 days or less)
Prior pacemaker or defibrillator lead placement	Prior pacemaker or defibrillator lead placement
