input_text	target_text
Laser prostatectomy is indicated as a treatment modality for patients with vesica cervix obstruction secondary to benign prostate hyperplasia (BPH ). Laser surgery provides some advantages over traditional TURP in that the \ normality \ nCreated on 10 / twenty five / 2021. Page 2 of septenary \ n \ n \ nhospital stay is decrease, patients can resume normal activities quicker and morbidity is reduced.	Optical maser prostatectomy be indicated as a discourse sense modality for patient with \ newton \ nbladder neck obstruction secondary to benign prostatic hyperplasia (BPH) and …. (Please \ n \ nselect all that apply )
Absolute and relative contraindications to exercise (field walking tests) include:	Select that apply:
Medicare will not pay for use of pachymetry when used in preparation for surgery to reshape the cornea of the eye for the purpose of correcting visual problems (refractive surgery), such as myopia (nearsightedness) and hyperopia (farsightedness).	Pachymetry is used in preparation for surgery to reshape the cornea of the eye for the purpose of correcting visual problems (refractive surgery), such as myopia (nearsightedness) and hyperopia (farsightedness)
Medicare will consider corneal pachymetry to be medically necessary and reasonable when performed only by\n\nCreated on 10/25/2021. Page 2 of 8\n\n\nophthalmologist and optometrists.	The procedure is performed only by ophthalmologist and optometrists
Whether patients have been previously diagnosed and are under treatment for glaucoma or are newly diagnosed, pachymetry will be covered once per lifetime, or more frequently in cases where there has been surgical or non- surgical trauma.	There has been surgical or non- surgical trauma.
procedure significant benefit and risk (injury or death) treating physician discusses with the To meet reasonable and necessary (R&N) threshold for covered surgeries in the treatment of morbid obesity, the physician’s documentation for the case support indication and medical need procedure does not exceed the medical need) and is at least as beneficial as existing alternatives. list includes contraindications to to treat morbid and lacking compelling an exception in documentation, the hospital and physician can denied if reviewed.	all that apply:
The failed to maintain a healthy adequate participation in a structured dietary program overseen by one of following:	Select that
FFRct is non consider reasonable in the following clinical circumstance	Please choose all that apply for the patient role
food and drug administration - approved FFRct technology may be take reasonable and necessary in the management of patients with diagnostic, stable ischemic heart disease (SIHD) when the CCTA analysis is completed and demonstrates one of the undermentioned criterion:	Affected role with diagnostic, unchanging ischemic heart disease (SIHD) when the CCTA analysis be completed
Treatment regimens of 30-minute weekly sessions for 12 weeks. Studies demonstrate that PTNS is safe statistically significant improvements in patient assessment of overactive (OAB) symptoms nocturia, urgency and urge incontinence) and may be a significant alternative to pharmacotherapy.	all that apply:
