,doc_id,id,text,Question,category,pre_process
0,L336742,0mdYjUZqV4,"arterial inflow and deep venous vascular outflow functions of each abdominal, lateral pelvic, posterior scrotal contents tract and / or other retroperitoneal tubular organs :",select all factors that should apply :,1,arterial inflow deep venous vascular outflow function abdominal lateral pelvic posterior scrotal content tract / retroperitoneal tubular organ
1,L336742,z5AiJirlXN,"closed aorta, chronic inferior transverse vena with cava, posterior iliac ligament vasculature, or heart bypass grafts :",programs select all parameters that apply :,1,closed aorta chronic inferior transverse vena cava posterior iliac ligament vasculature heart bypass graft
2,L343807,SVi7dQu098,MRgFUS unilateral thalamotomy is considered medically reasonable and necessary in patients with one sided all four of the following criteria:,Select all that quality apply:,1,mrgfus unilateral thalamotomy considered medically reasonable necessary patient one sided four following criterion
3,L334556,bvIKI9mbiW,"The WMC should not be administered to with a history of gastric bezoar, disorders, suspected strictures/fistulae in the tract, physiologic GI obstruction, GI surgery within previous months,\n\nCreated 10/25/2021. of 7\n\n\nCrohn’s disease, diverticulitis, who an implanted electromechanical medical (such as or pump). The is not FDA approved for use children.",has history of (Select that,2,wmc administered history gastric bezoar disorder suspected strictures/fistulae tract physiologic gi obstruction gi surgery within previous months\n\ncreated 10/25/2021 7\n\n\ncrohn ’ disease diverticulitis implanted electromechanical medical pump fda approved use child
4,L334556,f8I-fM5_CI,The Wireless Capsule (WMC) has been studied centers. The capsule does use radioactive materials and has risks. Palmetto GBA will cover the device,Capsule (Select that apply):,2,wireless capsule wmc studied center capsule use radioactive material risk palmetto gba cover device
5,L333961,9xGnKXNIxT,therapies for recidivism shall only be allowed for those sufferers who achieve a >50 lessening in OBS nausea with the first-time therapy and then recidivism.,The petition is for…(Please select all that apply),1,therapy recidivism shall allowed sufferer achieve > 50 lessening ob nausea first-time therapy recidivism
6,L333961,3WHYNvR3nv,PTNS is considered sensible and essential for a donee when the followers standards are met:,Please select any all that apply,1,ptns considered sensible essential donee follower standard met
7,L333961,9xGnKXNIxT,therapies for recidivism shall only be allowed for those sufferers who achieve a >50 lessening in OBS nausea with the first-time therapy and then recidivism.,sufferers has achieved a >50 lessening in OBS nausea with the first-time therapy and then relapse,2,therapy recidivism shall allowed sufferer achieve > 50 lessening ob nausea first-time therapy recidivism
8,L385716,DLGOxcjSbT,Diagnostic and/or surveillance* (performed for disease) colon capsule colonoscopy (CCE) medically necessary for the detection of colon polyps EITHER of the criteria are,"Patient’s secondary after an incomplete colonoscopy with adequate preparation, and a complete evaluation of the colon was not technically possible, in which there is (Select all apply):",1,diagnostic and/or surveillance * performed disease colon capsule colonoscopy cce medically necessary detection colon polyp either criterion
9,L385716,DLGOxcjSbT,Diagnostic and/or surveillance* (performed for disease) colon capsule colonoscopy (CCE) medically necessary for the detection of colon polyps EITHER of the criteria are,"Primary procedure in patient with major risks for OC or moderate sedation as indicated from evaluation of the by a board certified or eligible gastroenterologist, a surgeon trained in endoscopy, or a physician equivalent endoscopic training, in which is (Select all that apply):",1,diagnostic and/or surveillance * performed disease colon capsule colonoscopy cce medically necessary detection colon polyp either criterion
10,L375787,Hz0cve_1YO,"This LCD addresses use of a group of new surgical procedures for glaucoma referred to as micro-invasive glaucoma surgery (MIGS). CGS considers one iStent, iStent inject, or Hydrus device per eye medically reasonable and necessary for the treatment of adults with mild or moderate open-angle glaucoma and a cataract when the individual is currently being treated with an ocular hypotensive medication and the procedure is being performed in conjunction with cataract surgery. One XEN45 device per eye is covered for the management of refractory glaucoma, routine defined as prior failure of filtering/cilioablative procedure and/or uncontrolled IOP (progressive damage and mean diurnal medicated IOP ≥20 mm Hg) on maximally tolerated medical therapy (i.e., ≥4 classes of topical IOP-lowering medications, or fewer in the case of tolerability or efficacy issues). XEN45 insertion must be performed by an\n\nCreated on 10/25/2021. Page 2 of 8\n\nophthalmologist with experience with trabeculectomy and bleb management.",Please quality select all that apply for the patient,1,lcd address use group new surgical procedure glaucoma referred micro-invasive glaucoma surgery migs cgs considers one istent istent inject hydrus device per eye medically reasonable necessary treatment adult mild moderate open-angle glaucoma cataract individual currently treated ocular hypotensive medication procedure performed conjunction cataract surgery one xen45 device per eye covered management refractory glaucoma routine defined prior failure filtering/cilioablative procedure and/or uncontrolled iop progressive damage mean diurnal medicated iop ≥20 mm hg maximally tolerated medical therapy ie ≥4 class topical iop-lowering medication fewer case tolerability efficacy issue xen45 insertion must performed an\n\ncreated 10/25/2021 page 2 8\n\nophthalmologist experience trabeculectomy bleb management
11,L389260,0gj0t3y5L_,The following are considered contraindicators to surgery for visually impairing cataract and are not considered medically reasonable and necessary:,Select all that apply:,1,following considered contraindicators surgery visually impairing cataract considered medically reasonable necessary
12,L389260,0gj0t3y5L_,The following are considered contraindicators to surgery for visually impairing cataract and are not considered medically reasonable and necessary:,The individual is opting for (Select any ONE):,0,following considered contraindicators surgery visually impairing cataract considered medically reasonable necessary
13,L382313,WCN99NFwKQ,Intravenous stents whitethorn constitute placed for patient with severely symptomatic venous obstruction referable to any of the following:,Patient has hard diagnostic venous impediment ascribable to (Select all that lend oneself ):,2,intravenous stent whitethorn constitute placed patient severely symptomatic venous obstruction referable following
14,L335781,o8pgvvPZqS,prostate cancer:,Select all that apply:,1,prostate cancer
15,L335781,-lOHV5A_Nz,anus:,Select all that apply:,1,anus
16,L339993,r9OD3Lwdzb,"Medicare will not pay for use of pachymetry when used in preparedness for surgical procedure to reshape the cornea of the eye for the role of correcting optic problems (refractile operating theater ), such as myopia (nearsightedness) and hypermetropy (farsightedness ).","Pachymetry be used in preparation for surgery to reshape the cornea of the eye for the design of slump visual problems (refractive surgery ), such as myopia (nearsightedness) and longsightedness (farsightedness )",2,medicare pay use pachymetry used preparedness surgical procedure reshape cornea eye role correcting optic problem refractile operating theater myopia nearsightedness hypermetropy farsightedness
17,L339993,AMiyS3_JUi,Medicare will consider corneal pachymetry to be medically necessary and reasonable when performed only by \ north \ nCreated on x / 25 / 2021. Page 2 of eighter from decatur \ n \ due north \ nophthalmologist and oculist.,The procedure be performed entirely by ophthalmologist and optometrists,2,medicare consider corneal pachymetry medically necessary reasonable performed \ north \ ncreated x / 25 / 2021 page 2 eighter decatur \ n \ due north \ nophthalmologist oculist
18,L339993,xEjgo0Ovke,"Medicare will consider corneal pachymetry to be medically necessary and reasonable when performed to make up one's mind the amount of endothelial trauma sustained during surgery, assessment of the health of the cornea pre - operatively in Fuch ' south dystrophy, post ocular trauma and for the judgment of corneal thickness or (in suspected glaucoma) follow the diagnosis of increased intraocular insistency prior to the initiation of a treatment regimen for glaucoma. It is expected that service for the measurement of corneal heaviness following the diagnosis of increased intraocular pressure will live performed erstwhile in a lifetime, unless there has been interval corneal trauma or surgery.",The operation is performed … (Please take all that apply ),2,medicare consider corneal pachymetry medically necessary reasonable performed make one mind amount endothelial trauma sustained surgery assessment health cornea pre - operatively fuch ' south dystrophy post ocular trauma judgment corneal thickness suspected glaucoma follow diagnosis increased intraocular insistency prior initiation treatment regimen glaucoma expected service measurement corneal heaviness following diagnosis increased intraocular pressure live performed erstwhile lifetime unless interval corneal trauma surgery
19,L339993,eX5uiLYS4e,"Whether patients have been previously diagnosed and are under handling for glaucoma surgery are newly diagnosed, pachymetry testament be covered once per lifetime, or more frequently in cases where at that place has personify surgical or non - surgical trauma.",Please select any unity,2,whether patient previously diagnosed handling glaucoma surgery newly diagnosed pachymetry testament covered per lifetime frequently case place personify surgical non - surgical trauma
